chain,chain_id,recipient_address,recipient_kind,can_receive_erc721,contract_label,safe_version,body_receipts,direct_asset_receipts,total_receipts,example_assets,on_erc721_received_result
Ethereum,1,0x2feb329b9289b60064904Fa61Fc347157a5AEd6a,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000079,
Ethereum,1,0x30670D81E487c80b9EDc54370e6EaF943B6EAB39,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000054,
Ethereum,1,0x34724D71cE674FcD4d06e60Dd1BaA88c14D36b75,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000056,
Ethereum,1,0x35a21F7c053Aed0Dcf9E24BfB100acA163aeDdB2,EOA/no-code,n/a,,,1,11,12,Original body V4 4000000083; V4 10000000014; V4 13000000004; V4 19000000022; V4 25000000012; V4 26000000006,
Ethereum,1,0x381CC779761212344f8400373a994d29E17522c6,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000039,
Ethereum,1,0x38EED3CCeED88f380E436eb21811250797c453C5,EOA/no-code,n/a,,,1,1,2,Orange body V4 3000000008; V4 44000000005,
Ethereum,1,0x45C3d8Aacc0d537dAc234AD4C20Ef05d6041CeFe,EOA/no-code,n/a,,,2,3,5,Pink body V4 2000000005; Orange body V4 3000000021; V4 32000000004; V4 44000000007; V4 47000000008,
Ethereum,1,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000037,
Ethereum,1,0x4A290F18c35bBFE97B2557cf765De9387726dE39,EOA/no-code,n/a,,,1,2,3,Original body V4 4000000012; V4 10000000004; V4 44000000002,
Ethereum,1,0x4A8a9147ab0DF5A8949f964bDBA22dc4583280E2,EOA/no-code,n/a,,,1,4,5,Original body V4 4000000053; V4 10000000013; V4 19000000014; V4 28000000007; V4 43000000010,
Ethereum,1,0x5138a42C3D5065debE950deBDa10C1f38150a908,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000085,
Ethereum,1,0x516cAfD745Ec780D20f61c0d71fe258eA765222D,EOA/no-code,n/a,,,1,1,2,Orange body V4 3000000003; V4 19000000003,
Ethereum,1,0x546B4A7A30b3193Badf70E1d43D8142928F3db0b,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000016,
Ethereum,1,0x5706d5aD7A68bf8692bD341234bE44ca7Bf2f654,contract,true,ERC721 receiver-capable contract,,1,0,1,Original body V4 4000000009,0x150b7a0200000000000000000000000000000000000000000000000000000000
Ethereum,1,0x59E98040E53d7dC1900B4daf36D9Fbbd4a8f1dA2,EOA/no-code,n/a,,,3,0,3,Original body V4 4000000034; Original body V4 4000000035; Original body V4 4000000036,
Ethereum,1,0x5A00e8683f37e8B08C744054a0EF606a18b1aEF7,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000033,
Ethereum,1,0x5dee86b297755b3F2ce65e09BA3A700579A9020B,EOA/no-code,n/a,,,1,0,1,Pink body V4 2000000006,
Ethereum,1,0x60535A6605958fFf6cEC5B1e92892601EFb3473b,contract,true,Safe wallet,1.3.0,1,0,1,Original body V4 4000000055,0x150b7a0200000000000000000000000000000000000000000000000000000000
Ethereum,1,0x63A2368F4B509438ca90186cb1C15156713D5834,EOA/no-code,n/a,,,2,0,2,Pink body V4 2000000002; Original body V4 4000000042,
Ethereum,1,0x679d87D8640e66778c3419D164998E720D7495f6,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000010,
Ethereum,1,0x690C01b4b1389D9D9265820F77DCbD2A6Ad04e6c,EOA/no-code,n/a,,,2,0,2,Original body V4 4000000021; Original body V4 4000000022,
Ethereum,1,0x6a099Bb96DDF3963d5AddCAbDC0221914cF80b1F,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000013,
Ethereum,1,0x7044d88283c8FFF0679b711C0cd81f1a6754C843,EOA/no-code,n/a,,,0,1,1,V4 10000000009,
Ethereum,1,0x76A6D08b82034b397E7e09dAe4377C18F132BbB8,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000015,
